Treatment_Code,Treatment_Code_Number,Treatment_Description,Species_1,Species_2,Axenic_State,Plate_Well,Monoculture_v_Biculture,Plate,Well,Well.ID,Time_Treatment,Mean.RFU..Chl.a70.460.685.,Std.Dev.RFU..Chl.a70.460.685.,CV.RFU..Chl.a70.460.685.,Mean.RFU..Chl.a100.460.685.,Std.Dev.RFU..Chl.a100.460.685.,CV.RFU..Chl.a100.460.685.,Reading.Date.Time,Time
11A,11,Cm axenic invaded with Mm axenic,Cm,Mm,axenic,Lower_B3,Biculture,Lower,B3,SPL11,10.25_axenic_Cm,11,6.085,53.17,11,11.336,103.053,5/1/2018 10:50,10.25
11B,11,Cm axenic invaded with Mm axenic,Cm,Mm,axenic,Lower_A6,Biculture,Lower,A6,SPL6,10.25_axenic_Cm,8,7.656,97.045,7,6.69,95.565,5/1/2018 10:50,10.25
11C,11,Cm axenic invaded with Mm axenic,Cm,Mm,axenic,Upper_C7,Biculture,Upper,C7,SPL23,10.25_axenic_Cm,13,6.547,49.934,11,5.783,53.658,5/1/2018 10:15,10.25
13A,13,Cm axenic invaded with Sc axenic,Cm,Sc,axenic,Lower_B2,Biculture,Lower,B2,SPL10,10.25_axenic_Cm,12,7.219,59.605,12,12.166,104.276,5/1/2018 10:50,10.25
13B,13,Cm axenic invaded with Sc axenic,Cm,Sc,axenic,Upper_D8,Biculture,Upper,D8,SPL32,10.25_axenic_Cm,11,10.665,94.106,8,7.986,94.572,5/1/2018 10:15,10.25
13C,13,Cm axenic invaded with Sc axenic,Cm,Sc,axenic,Lower_B4,Biculture,Lower,B4,SPL12,10.25_axenic_Cm,15,12.242,82.221,14,8.5,62.195,5/1/2018 10:50,10.25
1A,1,Cm axenic Monoculture ,Cm,NA,axenic,Upper_A1,Monoculture,Upper,A1,SPL1,10.25_axenic_Cm,14,12.43,86.72,13,11.461,87.417,5/1/2018 10:15,10.25
1C,1,Cm axenic Monoculture ,Cm,NA,axenic,Upper_B6,Monoculture,Upper,B6,SPL14,10.25_axenic_Cm,10,6.809,67.341,8,5.349,67.803,5/1/2018 10:15,10.25
9A,9,Cm axenic invaded with Sa axenic,Cm,Sa,axenic,Lower_D6,Biculture,Lower,D6,SPL30,10.25_axenic_Cm,8,5.22,68.089,11,9.198,84.475,5/1/2018 10:50,10.25
9B,9,Cm axenic invaded with Sa axenic,Cm,Sa,axenic,Upper_B1,Biculture,Upper,B1,SPL9,10.25_axenic_Cm,12,9.333,77.064,13,9.043,67.263,5/1/2018 10:15,10.25
9C,9,Cm axenic invaded with Sa axenic,Cm,Sa,axenic,Lower_C5,Biculture,Lower,C5,SPL21,10.25_axenic_Cm,9,4.919,56.037,9,5.979,66.435,5/1/2018 10:50,10.25
10A,10,Cm xenic invaded with Sa xenic,Cm,Sa,xenic,Lower_F8,Biculture,Lower,F8,SPL48,10.25_xenic_Cm,12,5.028,40.401,10,12.689,122.793,5/1/2018 10:50,10.25
10B,10,Cm xenic invaded with Sa xenic,Cm,Sa,xenic,Upper_A6,Biculture,Upper,A6,SPL6,10.25_xenic_Cm,9,5.244,60.508,10,7.483,77.414,5/1/2018 10:15,10.25
10C,10,Cm xenic invaded with Sa xenic,Cm,Sa,xenic,Upper_F7,Biculture,Upper,F7,SPL47,10.25_xenic_Cm,11,5.911,52.676,9,7.467,79.999,5/1/2018 10:15,10.25
12A,12,Cm xenic invaded with Mm xenic,Cm,Mm,xenic,Upper_D3,Biculture,Upper,D3,SPL27,10.25_xenic_Cm,4,5.503,123.807,14,6.28,45.584,5/1/2018 10:15,10.25
12B,12,Cm xenic invaded with Mm xenic,Cm,Mm,xenic,Lower_F4,Biculture,Lower,F4,SPL44,10.25_xenic_Cm,8,10.717,135.853,12,8.958,76.785,5/1/2018 10:50,10.25
12C,12,Cm xenic invaded with Mm xenic,Cm,Mm,xenic,Upper_B3,Biculture,Upper,B3,SPL11,10.25_xenic_Cm,11,8.497,75.713,9,6.858,72.611,5/1/2018 10:15,10.25
14A,14,Cm xenic invaded with Sc xenic,Cm,Sc,xenic,Upper_A8,Biculture,Upper,A8,SPL8,10.25_xenic_Cm,16,6.652,42.46,10,8.888,91.947,5/1/2018 10:15,10.25
14B,14,Cm xenic invaded with Sc xenic,Cm,Sc,xenic,Upper_C3,Biculture,Upper,C3,SPL19,10.25_xenic_Cm,6,4.475,80.554,6,5.069,81.466,5/1/2018 10:15,10.25
14C,14,Cm xenic invaded with Sc xenic,Cm,Sc,xenic,Lower_C2,Biculture,Lower,C2,SPL18,10.25_xenic_Cm,16,8.676,52.761,12,10.897,88.356,5/1/2018 10:50,10.25
5A,5,Cm xenic Monoculture ,Cm,NA,xenic,Upper_D7,Monoculture,Upper,D7,SPL31,10.25_xenic_Cm,13,5.126,40.828,8,6.085,72.06,5/1/2018 10:15,10.25
5B,5,Cm xenic Monoculture ,Cm,NA,xenic,Lower_D5,Monoculture,Lower,D5,SPL29,10.25_xenic_Cm,12,6.34,51.872,17,7.812,47.187,5/1/2018 10:50,10.25
5C,5,Cm xenic Monoculture ,Cm,NA,xenic,Lower_A5,Monoculture,Lower,A5,SPL5,10.25_xenic_Cm,10,6.604,65.313,10,7.881,79.696,5/1/2018 10:50,10.25
21A,21,Mm axenic invaded with Cm axenic,Mm,Cm,axenic,Upper_D6,Biculture,Upper,D6,SPL30,10.25_axenic_Mm,4,2.863,75.775,5,5.003,91.888,5/1/2018 10:15,10.25
21B,21,Mm axenic invaded with Cm axenic,Mm,Cm,axenic,Lower_A1,Biculture,Lower,A1,SPL1,10.25_axenic_Mm,10,14.63,140.071,9,9.628,104.398,5/1/2018 10:50,10.25
21C,21,Mm axenic invaded with Cm axenic,Mm,Cm,axenic,Upper_E3,Biculture,Upper,E3,SPL35,10.25_axenic_Mm,7,6.723,99.187,8,6.307,83.475,5/1/2018 10:15,10.25
