"","Mean","SE","Day_Treatment","Day","Plate.ID","Reading.Date.Time","Mean.RFU..Chl.a70.460.685.","Std.Dev.RFU..Chl.a70.460.685.","CV.RFU..Chl.a70.460.685.","Mean.RFU..Chl.a100.460.685.","Std.Dev.RFU..Chl.a100.460.685.","CV.RFU..Chl.a100.460.685.","Treatment"
"1",9.75,1.10867789130417,"0_10",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",12,6.604,55.547,8,2.744,32.491,"10"
"2",9.75,1.10867789130417,"0_10",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",11,5.652,50.364,10,7.091,74.205,"10"
"3",9.75,1.10867789130417,"0_10",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",7,6.187,94.376,8,5.947,75.378,"10"
"4",9.75,1.10867789130417,"0_10",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",9,5.454,62.935,7,3.528,48.845,"10"
"5",6,1,"0_13",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",5,3.841,76.811,8,5.679,74.073,"13"
"6",6,1,"0_13",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",7,7.78,118.677,7,4.243,63.64,"13"
"7",7,0.577350269189626,"0_14",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",8,6.91,86.377,7,3.877,52.073,"14"
"8",7,0.577350269189626,"0_14",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",7,6.528,94.757,6,4.272,67.453,"14"
"9",7,0.577350269189626,"0_14",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",6,4.183,69.722,7,4.79,66.324,"14"
"10",11,1,"0_19",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",9,6.103,70.422,7,6.642,93.398,"19"
"11",11,1,"0_19",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",12,4.79,40.67,6,4.822,76.134,"19"
"12",11,1,"0_19",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",12,6.576,56.37,8,5.223,61.849,"19"
"13",8.6,0.871779788708135,"0_2",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",8,3.873,46.476,9,7.616,87.874,"2"
"14",8.6,0.871779788708135,"0_2",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",11,7.049,65.407,5,3.041,57.026,"2"
"15",8.6,0.871779788708135,"0_2",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",8,4.975,62.187,5,4.859,99.391,"2"
"16",8.6,0.871779788708135,"0_2",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",10,5.472,55.965,6,4.324,69.488,"2"
"17",8.6,0.871779788708135,"0_2",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",6,6.164,97.333,5,6.058,126.787,"2"
"18",11,0,"0_20",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",11,6.451,59.241,5,5.723,114.455,"20"
"19",11,0,"0_20",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",11,4.79,44.444,10,4.555,47.123,"20"
"20",11,0,"0_20",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",11,5.769,50.406,7,5.05,75.746,"20"
"21",5.66666666666667,0.333333333333333,"0_23",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",5,5.988,117.165,7,5.545,83.179,"23"
