"","Mean","SE","Day_Treatment","Day","Plate.ID","Reading.Date.Time","Mean.RFU..Chl.a70.460.685.","Std.Dev.RFU..Chl.a70.460.685.","CV.RFU..Chl.a70.460.685.","Mean.RFU..Chl.a100.460.685.","Std.Dev.RFU..Chl.a100.460.685.","CV.RFU..Chl.a100.460.685.","Treatment","Native"
"1",12,1.08012344973464,"0_3",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",15,7.645,50.222,16,5.357,33.951,"3","Axenic"
"2",12,1.08012344973464,"0_3",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",10,8.56,81.96,15,12.176,81.172,"3","Axenic"
"3",12,1.08012344973464,"0_3",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",12,5.895,50.528,12,7.213,57.962,"3","Axenic"
"4",12,1.08012344973464,"0_3",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",11,7.902,73.319,11,10.576,95.188,"3","Axenic"
"5",10.3333333333333,0.881917103688197,"0_42",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",9,8.292,92.128,9,6.431,72.352,"42","Native Bacterium"
"6",10.3333333333333,0.881917103688197,"0_42",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",10,8.467,82.832,13,10.368,79.756,"42","Native Bacterium"
"7",10.3333333333333,0.881917103688197,"0_42",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",12,5.988,50.37,12,6.772,55.916,"42","Native Bacterium"
"8",12.25,0.853912563829966,"0_44",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",13,6.858,51.008,15,8.946,57.923,"44","Non-Native Bacterium"
"9",12.25,0.853912563829966,"0_44",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",12,6.431,54.095,11,5.362,50.268,"44","Non-Native Bacterium"
"10",12.25,0.853912563829966,"0_44",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",10,5.05,48.869,15,7.518,51.654,"44","Non-Native Bacterium"
"11",12.25,0.853912563829966,"0_44",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",14,4.065,28.145,16,7.39,45.869,"44","Non-Native Bacterium"
"12",13.75,0.75,"0_47",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",15,8.293,53.697,12,4.197,34.65,"47","Non-Native Bacterium"
"13",13.75,0.75,"0_47",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",12,5.548,44.58,8,5.937,77.441,"47","Non-Native Bacterium"
"14",13.75,0.75,"0_47",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",13,6.984,51.948,12,9.103,75.161,"47","Non-Native Bacterium"
"15",13.75,0.75,"0_47",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",15,5.897,38.184,10,4.343,42.952,"47","Non-Native Bacterium"
"16",12.3333333333333,0.333333333333333,"0_48",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",12,9.138,74.091,15,7.271,48.114,"48","Non-Native Bacterium"
"17",12.3333333333333,0.333333333333333,"0_48",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",12,7.102,58.111,11,5.077,48.1,"48","Non-Native Bacterium"
"18",12.3333333333333,0.333333333333333,"0_48",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",13,7.585,60.409,12,8.857,72.465,"48","Non-Native Bacterium"
"19",11,1,"0_53",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",9,8.457,89.549,10,7.172,70.166,"53","Non-Native Bacterium"
"20",11,1,"0_53",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",12,5.044,41.271,16,5.362,34.225,"53","Non-Native Bacterium"
"21",11,1,"0_53",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",12,7.299,58.654,11,11.566,101.064,"53","Non-Native Bacterium"
"22",12.3333333333333,0.881917103688197,"0_54",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",12,6.483,52.095,13,6.146,45.717,"54","Non-Native Bacterium"
"23",12.3333333333333,0.881917103688197,"0_54",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",11,8.069,74.104,15,7.242,49.005,"54","Non-Native Bacterium"
"24",12.3333333333333,0.881917103688197,"0_54",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",14,9.124,63.657,13,7.524,57.387,"54","Non-Native Bacterium"
"25",13,2.3094010767585,"0_57",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",13,8.511,64.372,12,5.657,47.14,"57","Non-Native Bacterium"
"26",13,2.3094010767585,"0_57",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",17,8.047,48.28,10,6.423,64.226,"57","Non-Native Bacterium"
"27",13,2.3094010767585,"0_57",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",9,5.244,58.267,7,3.877,52.073,"57","Non-Native Bacterium"
"28",10.3333333333333,1.45296631451356,"0_58",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",10,5.895,57.048,9,6.982,77.579,"58","Non-Native Bacterium"
"29",10.3333333333333,1.45296631451356,"0_58",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",8,7.468,98.847,11,5.578,50.2,"58","Non-Native Bacterium"
"30",10.3333333333333,1.45296631451356,"0_58",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",13,4.216,31.361,11,7.143,62.418,"58","Non-Native Bacterium"
"31",9.5,1.19023807142381,"1_3",1,"Day1-Plate1 Algae-Bacteria Growth Experiment","3/17/2018 13:38",12,6.126,53.013,9,5.27,55.805,"3","Axenic"
"32",9.5,1.19023807142381,"1_3",1,"Day1-Plate2 Algae-Bacteria Growth Experiment","3/17/2018 13:48",8,8.136,98.951,11,7.293,64.991,"3","Axenic"
"33",9.5,1.19023807142381,"1_3",1,"Day1-Plate4 Algae-Bacteria Growth Experiment","3/17/2018 14:07",11,7.518,65.696,11,4.555,40.193,"3","Axenic"
"34",9.5,1.19023807142381,"1_3",1,"Day1-Plate5 Algae-Bacteria Growth Experiment","3/17/2018 14:16",7,7.552,115.195,7,6.245,89.214,"3","Axenic"
"35",8.33333333333333,1.33333333333333,"1_42",1,"Day1-Plate1 Algae-Bacteria Growth Experiment","3/17/2018 13:38",7,6.579,88.369,8,6.164,77.055,"42","Native Bacterium"
"36",8.33333333333333,1.33333333333333,"1_42",1,"Day1-Plate2 Algae-Bacteria Growth Experiment","3/17/2018 13:48",11,7.902,73.319,7,6.058,83.874,"42","Native Bacterium"
"37",8.33333333333333,1.33333333333333,"1_42",1,"Day1-Plate3 Algae-Bacteria Growth Experiment","3/17/2018 13:57",7,4.272,61.029,8,7.939,94.015,"42","Native Bacterium"
"38",8,0.707106781186548,"1_44",1,"Day1-Plate2 Algae-Bacteria Growth Experiment","3/17/2018 13:48",6,4.475,69.443,9,8.471,97.737,"44","Non-Native Bacterium"
"39",8,0.707106781186548,"1_44",1,"Day1-Plate3 Algae-Bacteria Growth Experiment","3/17/2018 13:57",9,6.423,71.362,6,4.676,76.51,"44","Non-Native Bacterium"
"40",8,0.707106781186548,"1_44",1,"Day1-Plate4 Algae-Bacteria Growth Experiment","3/17/2018 14:07",9,8.069,88.564,9,9.682,103.741,"44","Non-Native Bacterium"
"41",8,0.707106781186548,"1_44",1,"Day1-Plate5 Algae-Bacteria Growth Experiment","3/17/2018 14:16",8,6.964,83.57,4,3.586,92.218,"44","Non-Native Bacterium"
"42",8.25,0.629152869605896,"1_47",1,"Day1-Plate2 Algae-Bacteria Growth Experiment","3/17/2018 13:48",8,7.81,101.873,7,5.63,83.062,"47","Non-Native Bacterium"
"43",8.25,0.629152869605896,"1_47",1,"Day1-Plate3 Algae-Bacteria Growth Experiment","3/17/2018 13:57",7,5.244,71.51,9,7.683,81.349,"47","Non-Native Bacterium"
"44",8.25,0.629152869605896,"1_47",1,"Day1-Plate5 Algae-Bacteria Growth Experiment","3/17/2018 14:16",8,6.502,86.058,8,7.28,91.001,"47","Non-Native Bacterium"
"45",8.25,0.629152869605896,"1_47",1,"Day1-Plate5 Algae-Bacteria Growth Experiment","3/17/2018 14:16",10,8.609,87.055,9,2.449,28.263,"47","Non-Native Bacterium"
"46",11,2.3094010767585,"1_48",1,"Day1-Plate1 Algae-Bacteria Growth Experiment","3/17/2018 13:38",15,4.664,30.415,4,5.54,131.217,"48","Non-Native Bacterium"
"47",11,2.3094010767585,"1_48",1,"Day1-Plate2 Algae-Bacteria Growth Experiment","3/17/2018 13:48",11,5.89,52.487,11,6.483,61.417,"48","Non-Native Bacterium"
"48",11,2.3094010767585,"1_48",1,"Day1-Plate3 Algae-Bacteria Growth Experiment","3/17/2018 13:57",7,6.685,98.637,12,4.893,41.547,"48","Non-Native Bacterium"
"49",6,0.577350269189626,"1_53",1,"Day1-Plate1 Algae-Bacteria Growth Experiment","3/17/2018 13:38",7,4.994,69.154,8,4.522,54.992,"53","Non-Native Bacterium"
"50",6,0.577350269189626,"1_53",1,"Day1-Plate2 Algae-Bacteria Growth Experiment","3/17/2018 13:48",6,6.515,104.704,9,6.778,77.22,"53","Non-Native Bacterium"
"51",6,0.577350269189626,"1_53",1,"Day1-Plate5 Algae-Bacteria Growth Experiment","3/17/2018 14:16",5,3.202,68.605,7,4.147,57.415,"53","Non-Native Bacterium"
"52",8.33333333333333,0.881917103688197,"1_54",1,"Day1-Plate2 Algae-Bacteria Growth Experiment","3/17/2018 13:48",10,5.681,54.396,11,9.987,90.795,"54","Non-Native Bacterium"
"53",8.33333333333333,0.881917103688197,"1_54",1,"Day1-Plate3 Algae-Bacteria Growth Experiment","3/17/2018 13:57",7,5.745,78.335,6,5.003,90.05,"54","Non-Native Bacterium"
"54",8.33333333333333,0.881917103688197,"1_54",1,"Day1-Plate5 Algae-Bacteria Growth Experiment","3/17/2018 14:16",8,6.274,79.528,11,5.883,52.948,"54","Non-Native Bacterium"
"55",7.66666666666667,1.20185042515466,"1_57",1,"Day1-Plate1 Algae-Bacteria Growth Experiment","3/17/2018 13:38",7,6.36,93.83,10,8.472,81.117,"57","Non-Native Bacterium"
"56",7.66666666666667,1.20185042515466,"1_57",1,"Day1-Plate2 Algae-Bacteria Growth Experiment","3/17/2018 13:48",10,8.964,88.659,10,5.244,52.44,"57","Non-Native Bacterium"
"57",7.66666666666667,1.20185042515466,"1_57",1,"Day1-Plate4 Algae-Bacteria Growth Experiment","3/17/2018 14:07",6,4.764,82.452,8,7.807,100.372,"57","Non-Native Bacterium"
"58",7.66666666666667,1.76383420737639,"1_58",1,"Day1-Plate2 Algae-Bacteria Growth Experiment","3/17/2018 13:48",7,6.629,91.787,7,5.548,74.522,"58","Non-Native Bacterium"
"59",7.66666666666667,1.76383420737639,"1_58",1,"Day1-Plate3 Algae-Bacteria Growth Experiment","3/17/2018 13:57",5,6.366,116.929,6,5.897,106.151,"58","Non-Native Bacterium"
"60",7.66666666666667,1.76383420737639,"1_58",1,"Day1-Plate4 Algae-Bacteria Growth Experiment","3/17/2018 14:07",11,8.866,81.425,9,7.601,88.845,"58","Non-Native Bacterium"
"61",181.75,13.7014293658241,"10_3",10,"Day10-Plate1 Algae-Bacteria Growth Experiment","3/26/2018 12:44",192,82.003,42.611,165,70.842,42.906,"3","Axenic"
"62",181.75,13.7014293658241,"10_3",10,"Day10-Plate2 Algae-Bacteria Growth Experiment","3/26/2018 13:00",146,59.468,40.67,135,49.066,36.345,"3","Axenic"
"63",181.75,13.7014293658241,"10_3",10,"Day10-Plate4 Algae-Bacteria Growth Experiment","3/26/2018 13:19",178,103.598,58.238,179,100.269,55.877,"3","Axenic"
"64",181.75,13.7014293658241,"10_3",10,"Day10-Plate5 Algae-Bacteria Growth Experiment","3/26/2018 13:28",211,92.111,43.563,200,93.826,46.835,"3","Axenic"
"65",227,29.2631736715848,"10_42",10,"Day10-Plate1 Algae-Bacteria Growth Experiment","3/26/2018 12:44",280,131.757,46.981,250,117.049,46.757,"42","Native Bacterium"
"66",227,29.2631736715848,"10_42",10,"Day10-Plate2 Algae-Bacteria Growth Experiment","3/26/2018 13:00",179,78.982,44.179,179,83.737,46.809,"42","Native Bacterium"
"67",227,29.2631736715848,"10_42",10,"Day10-Plate3 Algae-Bacteria Growth Experiment","3/26/2018 13:10",222,116.215,52.402,224,122.477,54.596,"42","Native Bacterium"
"68",235.75,19.0060297449695,"10_44",10,"Day10-Plate2 Algae-Bacteria Growth Experiment","3/26/2018 13:00",206,119.621,58.037,198,108.24,54.697,"44","Non-Native Bacterium"
"69",235.75,19.0060297449695,"10_44",10,"Day10-Plate3 Algae-Bacteria Growth Experiment","3/26/2018 13:10",291,126.576,43.497,264,102.56,38.914,"44","Non-Native Bacterium"
