"","Mean","SE","Day_Treatment","Day","Plate.ID","Reading.Date.Time","Mean.RFU..Chl.a70.460.685.","Std.Dev.RFU..Chl.a70.460.685.","CV.RFU..Chl.a70.460.685.","Mean.RFU..Chl.a100.460.685.","Std.Dev.RFU..Chl.a100.460.685.","CV.RFU..Chl.a100.460.685.","Treatment","Native"
"1",12.6,1.32664991614216,"0_5",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",13,7.141,56.38,13,9.32,72.31,"5","Axenic"
"2",12.6,1.32664991614216,"0_5",0,"Day0-Plate2 Algae-Bacteria Growth Experiment","3/16/2018 19:03",9,6.103,67.814,11,4.031,36.647,"5","Axenic"
"3",12.6,1.32664991614216,"0_5",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",17,7.568,43.385,12,5.798,47.869,"5","Axenic"
"4",12.6,1.32664991614216,"0_5",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",13,6.803,54.181,17,8.263,49.911,"5","Axenic"
"5",12.6,1.32664991614216,"0_5",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",11,7.616,69.234,13,5.318,42.353,"5","Axenic"
"6",13.6666666666667,0.333333333333333,"0_59",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",14,6.978,49.065,12,6.34,51.872,"59","Non-Native Bacterium"
"7",13.6666666666667,0.333333333333333,"0_59",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",13,8.602,67.913,11,7.753,71.202,"59","Non-Native Bacterium"
"8",13.6666666666667,0.333333333333333,"0_59",0,"Day0-Plate5 Algae-Bacteria Growth Experiment","3/16/2018 19:31",14,8.443,58.449,16,6.502,41.799,"59","Non-Native Bacterium"
"9",12.3333333333333,1.85592145427667,"0_61",0,"Day0-Plate3 Algae-Bacteria Growth Experiment","3/16/2018 19:12",16,9.367,59.793,14,8.093,59.219,"61","Non-Native Bacterium"
"10",12.3333333333333,1.85592145427667,"0_61",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",11,6.207,58.804,14,5.495,38.636,"61","Non-Native Bacterium"
"11",12.3333333333333,1.85592145427667,"0_61",0,"Day0-Plate4 Algae-Bacteria Growth Experiment","3/16/2018 19:22",10,6.515,63.733,12,4.851,38.978,"61","Non-Native Bacterium"
"12",12.3333333333333,1.20185042515466,"0_64",0,"Day0-Plate1 Algae-Bacteria Growth Experiment","3/16/2018 18:49",10,8.541,83.551,12,4.743,39.528,"64","Non-Native Bacterium"
