Combo,Invader,Bacteria,Sensitivities,Time_Point,Replicate,Combo,Invader,X-A_Sensitivities
C.m. Invading S.a.,Cm,Axenic,0.249393775,D1_D0,15A,C.m. Invading S.a.,Cm,0.064012581
C.m. Invading S.a.,Cm,Axenic,0.178957579,D1_D0,15B,C.m. Invading S.a.,Cm,0.134448777
C.m. Invading S.a.,Cm,Axenic,0.28588138,D1_D0,15C,C.m. Invading S.a.,Cm,0.027524976
C.m. Invading S.a.,Cm,Xenic,0.313406356,D1_D0,16A,C.m. Invading S.a.,Cm,-0.012404163
C.m. Invading S.a.,Cm,Xenic,0.236989612,D1_D0,16B,C.m. Invading S.a.,Cm,0.058032033
C.m. Invading S.a.,Cm,Xenic,0.491643526,D1_D0,16C,C.m. Invading S.a.,Cm,-0.048891768
C.m. Invading M.m.,Cm,Axenic,0.28588138,D1_D0,21A,C.m. Invading S.a.,Cm,0.242249751
C.m. Invading M.m.,Cm,Axenic,0.145379853,D1_D0,21B,C.m. Invading S.a.,Cm,0.312685947
C.m. Invading M.m.,Cm,Axenic,0.37671526,D1_D0,21C,C.m. Invading S.a.,Cm,0.205762146
C.m. Invading M.m.,Cm,Xenic,0.344929548,D1_D0,22A,C.m. Invading M.m.,Cm,0.059048168
C.m. Invading M.m.,Cm,Xenic,0.202638075,D1_D0,22B,C.m. Invading M.m.,Cm,0.199549695
C.m. Invading M.m.,Cm,Xenic,0.229738764,D1_D0,22C,C.m. Invading M.m.,Cm,-0.031785712
C.m. Invading S.c.,Cm,Axenic,0.510798383,D1_D0,27A,C.m. Invading M.m.,Cm,-0.083243305
C.m. Invading S.c.,Cm,Axenic,0.129946226,D1_D0,27B,C.m. Invading M.m.,Cm,0.057258222
C.m. Invading S.c.,Cm,Axenic,0.359419542,D1_D0,27C,C.m. Invading M.m.,Cm,-0.174077185
C.m. Invading S.c.,Cm,Xenic,0.368318479,D1_D0,28A,C.m. Invading M.m.,Cm,-0.056142616
C.m. Invading S.c.,Cm,Xenic,0.184044675,D1_D0,28B,C.m. Invading M.m.,Cm,0.084358911
C.m. Invading S.c.,Cm,Xenic,0.368318479,D1_D0,28C,C.m. Invading M.m.,Cm,-0.146976496
M.m. Invading C.m.,Mm,Axenic,-0.038631126,D1_D0,11A,C.m. Invading S.c.,Cm,-0.142479904
M.m. Invading C.m.,Mm,Axenic,-0.085889571,D1_D0,11B,C.m. Invading S.c.,Cm,0.238372253
M.m. Invading C.m.,Mm,Axenic,0.076707165,D1_D0,11C,C.m. Invading S.c.,Cm,0.008898937
M.m. Invading C.m.,Mm,Xenic,-0.051267453,D1_D0,12A,C.m. Invading S.c.,Cm,-0.326753708
M.m. Invading C.m.,Mm,Xenic,-0.021376535,D1_D0,12B,C.m. Invading S.c.,Cm,0.054098449
M.m. Invading C.m.,Mm,Xenic,-0.051267453,D1_D0,12C,C.m. Invading S.c.,Cm,-0.175374867
M.m. Invading S.a.,Mm,Axenic,0.149845623,D1_D0,17A,C.m. Invading S.c.,Cm,-0.142479904
M.m. Invading S.a.,Mm,Axenic,-0.085889571,D1_D0,17C,C.m. Invading S.c.,Cm,0.238372253
M.m. Invading S.a.,Mm,Xenic,0.065268307,D1_D0,18A,C.m. Invading S.c.,Cm,0.008898937
